Set,Model,Accuracy,Precision,Recall,F1 Score,AUC
Train,Logistic Regression,0.694,0.664,0.276,0.39,0.711
Validation,Logistic Regression,0.678,0.607,0.259,0.363,0.703
Test,Logistic Regression,0.685,0.619,0.286,0.391,0.704
Train,Random Forest,0.925,0.926,0.857,0.89,0.978
Validation,Random Forest,0.932,0.939,0.865,0.9,0.98
Test,Random Forest,0.669,0.537,0.478,0.506,0.68
Train,XGBoost,0.72,0.651,0.448,0.531,0.75
Validation,XGBoost,0.705,0.625,0.42,0.502,0.742
Test,XGBoost,0.703,0.61,0.442,0.513,0.724
